species_Jan21	SGB_Jan21	GTDB_r207	GTDB_r220
Coprobacter_fastidiosus	SGB1963	s__Coprobacter fastidiosus	s__Coprobacter fastidiosus
Coprococcus_comes	SGB4577_group	s__Bariatricus comes	s__Bariatricus comes
Coprococcus_eutactus	SGB5118,SGB5117,SGB5121	s__Coprococcus sp900066115,s__Coprococcus eutactus_A,s__Coprococcus eutactus	s__Coprococcus ammoniilyticus,s__Coprococcus aceti,s__Coprococcus eutactus
Dorea_formicigenerans	SGB4575	s__Dorea formicigenerans	s__Dorea formicigenerans
Dorea_longicatena	SGB4581,SGB4582_group	s__Dorea_A longicatena_B,s__Dorea_A longicatena	s__Dorea_A amylophila,s__Dorea_A longicatena
Eubacterium_ramulus	SGB4960,SGB4959	s__Eubacterium_I ramulus,s__Eubacterium_I ramulus_A	s__Eubacterium_I ramulus,s__Eubacterium_I ramulus_A
Eubacterium_rectale	SGB4933_group	s__Agathobacter rectalis	s__Agathobacter rectalis
Eubacterium_ventriosum	SGB5045	s__Eubacterium_G ventriosum	s__Eubacterium_G ventriosum
Faecalibacillus_intestinalis	SGB6754	s__Faecalibacillus intestinalis	s__Faecalibacillus intestinalis
Faecalibacterium_prausnitzii	SGB15342,SGB15323,SGB15322,SGB15317,SGB15318_group,SGB15332_group,SGB15316_group	s__Faecalibacterium prausnitzii_G,s__Faecalibacterium prausnitzii,s__Faecalibacterium prausnitzii_C,s__Faecalibacterium prausnitzii_I,s__Faecalibacterium prausnitzii_H,s__Faecalibacterium prausnitzii_E,s__Faecalibacterium prausnitzii_D	s__Faecalibacterium longum,s__Faecalibacterium prausnitzii,s__Faecalibacterium duncaniae,s__Faecalibacterium prausnitzii_I,s__Faecalibacterium hattorii,s__Faecalibacterium prausnitzii_E,s__Faecalibacterium prausnitzii_D
Faecalibacterium_SGB15346	SGB15346	s__Faecalibacterium sp900539945	s__Faecalibacterium sp900539945
Firmicutes_bacterium_AF16_15	SGB4993	s__Eisenbergiella sp900066775	s__Gallintestinimicrobium propionicum
Gemmiger_formicilis	SGB15300	s__Gemmiger formicilis	s__Gemmiger formicilis
Lachnospira_eligens	SGB5082_group	s__Lachnospira eligens_A	s__Lachnospira eligens_A
Lachnospira_pectinoschiza	SGB5075_group	s__Lachnospira rogosae_A	s__Lachnospira pectinoschiza_A
Lachnospira_sp_NSJ_43	SGB5087	s__Lachnospira sp900316325	s__Lachnospira hominis
Lachnospiraceae_bacterium_OM04_12BH	SGB4893	s__CAG-95 sp900066375	s__Suilimivivens aceti
Lachnospiraceae_bacterium_WCA3_601_WT_6H	SGB4910	s__Acetatifactor intestinalis	s__Acetatifactor intestinalis
Lacrimispora_amygdalina	SGB4716,SGB29368	s__Lacrimispora amygdalina_A,s__Copromonas sp900066535	s__Lacrimispora amygdalina_A,s__Alitiscatomonas sp900066535
Mediterraneibacter_butyricigenes	SGB25493	s__Mediterraneibacter_A butyricigenes	s__Mediterraneibacter_A butyricigenes
Oscillibacter_sp_ER4	SGB15254	s__ER4 sp000765235	s__Hominicoprocola fusiformis,s__Hominicoprocola sp934835795
Phocaeicola_massiliensis	SGB1812	s__Phocaeicola massiliensis	s__Phocaeicola massiliensis
Roseburia_hominis	SGB4936	s__Roseburia hominis	s__Roseburia hominis
Roseburia_intestinalis	SGB4951	s__Roseburia intestinalis	s__Roseburia intestinalis
Roseburia_inulinivorans	SGB4940	s__Roseburia inulinivorans	s__Roseburia inulinivorans
Roseburia_sp_AF02_12	SGB4938	s__RUG115 sp900066395	s__Roseburia_C amylophila
Ruminococcus_bicirculans	SGB4262	s__Ruminococcus_D bicirculans	s__Hominimerdicola aceti
Ruminococcus_lactaris	SGB4557	s__Mediterraneibacter lactaris	s__Mediterraneibacter lactaris
